,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
1186,Condo for sale,925000,2,1.0,2184.2078,New York County,New York,40.721386,-73.99395,Manhattan,10012,Corcoran
1187,House for sale,639000,3,2.0,2184.2078,New York,Kings County,40.62146,-73.90581,Brooklyn,11234,Other
1188,House for sale,2050000,6,6.0,5600.0,New York,Richmond County,40.585636,-74.10686,Staten Island,10304,"Tom Crimmins Realty, Ltd."
1189,Co-op for sale,279000,2,2.0,1050.0,New York,Bronx County,40.898666,-73.87383,Bronx,10470,Other
1190,Condo for sale,785000,2,2.0,968.0,Kings County,Brooklyn,40.603916,-73.998085,Brooklyn,11214,COMPASS
1191,House for sale,669000,3,2.0,1312.0,New York,Richmond County,40.60138,-74.1381,Staten Island,10314,Other
1192,Multi-family home for sale,3650000,4,4.0,2880.0,New York,Kings County,40.693882,-73.998314,Brooklyn,11201,Corcoran
1193,Townhouse for sale,6700000,4,4.0,3740.0,New York,New York County,40.791862,-73.96676,Manhattan,10025,Other
1194,Multi-family home for sale,681000,6,3.0,2184.2078,New York,Kings County,40.664883,-73.88269,Brooklyn,11207,Other
1195,Multi-family home for sale,530000,2,2.0,1672.0,New York,Richmond County,40.62686,-74.147644,Staten Island,10303,Robert DeFalco Realty
1196,Condo for sale,1700000,2,2.0,1580.0,Kings County,Brooklyn,40.676353,-73.954346,Brooklyn,11216,Corcoran
1197,Co-op for sale,339000,1,1.0,1085.0,Kings County,Brooklyn,40.61712,-74.03852,Brooklyn,11209,Other
1198,House for sale,800000,3,2.0,1224.0,New York,Kings County,40.61256,-73.92304,Other,11234,Keller Williams
1199,Co-op for sale,189000,1,1.0,700.0,Bronx County,The Bronx,40.906567,-73.896805,Bronx,10471,RE/MAX
1200,Co-op for sale,4995000,2,2.0,2184.2078,New York County,New York,40.77376,-73.964455,Manhattan,10021,Brown Harris Stevens
1201,House for sale,999999,2,2.0,1198.0,New York County,New York,40.780342,-73.947266,Manhattan,10128,Douglas Elliman
1202,Condo for sale,575000,3,2.0,877.0,Queens County,Queens,40.70198,-73.89421,Other,11385,Other
1203,Co-op for sale,385000,1,1.0,2184.2078,New York,New York County,40.85227,-73.93918,Manhattan,10033,Corcoran
1204,Townhouse for sale,7950000,4,2.0,3397.0,New York,New York County,40.73195,-74.0025,Manhattan,10014,COMPASS
1205,Co-op for sale,175000,3,1.0,2184.2078,Kings County,Brooklyn,40.632965,-73.970924,Brooklyn,11230,Douglas Elliman
1206,Multi-family home for sale,915999,5,3.0,2184.2078,New York,Queens County,40.761898,-73.875854,Other,11369,Keller Williams
1207,Multi-family home for sale,1850000,12,8.0,5250.0,New York,Kings County,40.607437,-73.95883,Brooklyn,11229,RE/MAX
