,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
0,Condo for sale,315000,2,2.0,1400.0,New York,Manhattan,40.761253,-73.97448,Manhattan,10022,Douglas Elliman
1,Condo for sale,195000000,7,10.0,17545.0,New York,New York County,40.76639,-73.98099,Manhattan,10019,Serhant
2,House for sale,260000,4,2.0,2015.0,New York,Richmond County,40.541805,-74.196106,Staten Island,10312,Sowae Corp
3,Condo for sale,69000,3,1.0,445.0,New York,New York County,40.7614,-73.97461,Manhattan,10022,COMPASS
4,House for sale,690000,5,2.0,4004.0,New York,Kings County,40.674362,-73.958725,Brooklyn,11238,Sowae Corp
5,Condo for sale,899500,2,2.0,2184.2078,New York County,New York,40.80945,-73.94678,Manhattan,10027,Douglas Elliman
6,House for sale,16800000,8,16.0,33000.0,New York,Richmond County,40.595,-74.10642,Staten Island,10304,Other
7,Co-op for sale,265000,1,1.0,750.0,The Bronx,East Bronx,40.821587,-73.87409,Bronx,10473,Other
8,Co-op for sale,440000,2,1.0,978.0,Kings County,Brooklyn,40.615738,-73.969696,Brooklyn,11230,Century 21
9,Co-op for sale,375000,2,1.0,850.0,Bronx County,The Bronx,40.82487,-73.92298,Bronx,10451,Other
10,Co-op for sale,259000,3,1.0,2184.2078,Queens County,Queens,40.75312,-73.881874,Queens,11372,COMPASS
11,Co-op for sale,430000,2,2.0,2184.2078,Queens County,Queens,40.743862,-73.87457,Queens,11373,Other
12,Co-op for sale,895000,3,1.0,2184.2078,New York County,New York,40.738297,-74.00589,Manhattan,10014,Corcoran
13,Condo for sale,549000,2,2.0,1000.0,Richmond County,Staten Island,40.540623,-74.16716,Staten Island,10312,Other
14,Townhouse for sale,975000,3,2.0,1734.0,New York,Queens County,40.76077,-73.90567,Queens,11377,Other
15,Co-op for sale,199000,3,1.0,325.0,Kings County,Brooklyn,40.618103,-74.0369,Brooklyn,11209,Other
16,Co-op for sale,350000,1,1.0,700.0,Bronx County,The Bronx,40.90737,-73.906555,Bronx,10471,Coldwell Banker
17,Condo for sale,599000,2,2.0,974.0,Queens County,Queens,40.73247,-73.86708,Queens,11374,Keller Williams
18,House for sale,639999,3,2.0,1260.0,New York,Richmond County,40.62074,-74.111435,Staten Island,10301,Other
19,Condo for sale,1300000,2,2.0,1244.0,Queens County,Queens,40.72024,-73.84305,Other,11375,Other
20,Multi-family home for sale,1100000,6,3.0,2837.0,New York,Bronx County,40.834393,-73.82211,Bronx,10465,Keller Williams
21,Condo for sale,349900,1,1.0,651.0,Richmond County,Staten Island,40.590206,-74.0958,Staten Island,10304,Other
22,House for sale,750000,2,2.0,1330.0,New York,Richmond County,40.50398,-74.239655,Staten Island,10307,Other
23,Multi-family home for sale,1690000,6,4.0,2200.0,New York,Queens County,40.71075,-73.80949,Other,11435,Century 21
24,Co-op for sale,325000,1,1.0,2184.2078,Queens County,Queens,40.750507,-73.88513,Queens,11372,Nest Seekers International
25,Co-op for sale,230000,1,1.0,2184.2078,New York,Queens County,40.755768,-73.87342,Queens,11372,Other
26,Multi-family home for sale,1299888,10,6.0,3156.0,Richmond County,Staten Island,40.615566,-74.08695,Staten Island,10304,Other
27,Multi-family home for sale,925000,5,2.0,2750.0,New York,Bronx County,40.824238,-73.81738,Bronx,10465,NoBroker
28,Condo for sale,329000,1,2.0,794.0,New York,Richmond County,40.62104,-74.15043,Staten Island,10314,Other
29,Multi-family home for sale,1300000,10,8.0,5040.0,Richmond County,Staten Island,40.627438,-74.158165,Staten Island,10303,Other
30,Multi-family home for sale,848000,5,4.0,2080.0,New York,Kings County,40.66155,-73.89831,Brooklyn,11207,RE/MAX
31,Co-op for sale,279000,1,1.0,750.0,Kings County,Brooklyn,40.617916,-73.95463,Brooklyn,11230,Other
32,Condo for sale,528000,1,1.0,602.0,Kings County,Brooklyn,40.62759,-74.00162,Brooklyn,11219,Other
33,Multi-family home for sale,1299888,11,4.0,3156.0,Richmond County,Staten Island,40.615566,-74.08695,Staten Island,10304,Other
34,Co-op for sale,275000,1,1.0,2184.2078,Queens County,Queens,40.752876,-73.82118,Queens,11355,E Realty International
35,Condo for sale,1165000,1,1.0,815.0,Kings County,Brooklyn,40.711967,-73.96495,Brooklyn,11249,Corcoran
36,Multi-family home for sale,1199000,6,5.0,3290.0,New York,Richmond County,40.515926,-74.236115,Staten Island,10307,Other
37,Multi-family home for sale,700000,6,2.0,3053.0,New York,Bronx County,40.852814,-73.91769,Bronx,10453,eXp Realty
38,Multi-family home for sale,2150000,8,4.0,3200.0,New York,Kings County,40.614445,-73.97958,Brooklyn,11204,Century 21
39,Multi-family home for sale,1280000,7,5.0,2460.0,New York,Queens County,40.688313,-73.85632,Other,11421,E Realty International
40,Co-op for sale,199900,1,1.0,2184.2078,Bronx County,The Bronx,40.826035,-73.92566,Bronx,10451,Brown Harris Stevens
41,Co-op for sale,369000,2,1.0,2184.2078,Queens County,Queens,40.753456,-73.82091,Queens,11355,Winzone Realty
42,Multi-family home for sale,699000,4,3.0,1591.0,New York,Queens County,40.68475,-73.802734,Queens,11435,Other
43,Co-op for sale,4250000,3,2.0,2400.0,New York County,New York,40.725464,-73.99992,Manhattan,10012,Brown Harris Stevens
44,Multi-family home for sale,825000,2,2.0,2184.2078,New York,Queens County,40.768456,-73.78941,Queens,11358,Other
45,Condo for sale,329000,2,1.0,837.0,Richmond County,Staten Island,40.631535,-74.08563,Staten Island,10304,American Homes Group
46,Multi-family home for sale,889000,2,2.0,1520.0,New York,Richmond County,40.623318,-74.12599,Staten Island,10314,Other
47,Multi-family home for sale,769000,2,2.0,2184.2078,New York,Queens County,40.686832,-73.83091,Other,11419,Other
48,Multi-family home for sale,1200000,4,2.0,2536.0,New York,Kings County,40.604286,-74.00125,Brooklyn,11214,eXp Realty
49,Co-op for sale,220500,2,1.0,900.0,Richmond County,Staten Island,40.648148,-74.0848,Staten Island,10301,Other
50,Multi-family home for sale,1999000,3,3.0,2739.0,New York,Kings County,40.62817,-74.02976,Brooklyn,11209,RE/MAX
51,Co-op for sale,3250000,2,2.0,1300.0,New York,Manhattan,40.71997,-73.998024,Manhattan,10013,Douglas Elliman
52,Condo for sale,1650000,2,2.0,1267.0,Kings County,Brooklyn,40.68661,-73.99971,Brooklyn,11231,Douglas Elliman
53,Multi-family home for sale,1049000,4,4.0,2554.0,New York,Richmond County,40.501625,-74.24175,Staten Island,10307,"Homes R Us Realty of NY, Inc."
54,House for sale,998800,3,4.0,2400.0,New York,Richmond County,40.6175,-74.104,Staten Island,10301,American Homes Group
55,House for sale,998800,3,4.0,2400.0,United States,New York,40.61865,-74.101906,Staten Island,10301,American Homes Group
56,For sale,3150000,3,2.0,1952.0,Kings County,Brooklyn,40.675404,-73.974205,Brooklyn,11217,Douglas Elliman
57,Co-op for sale,849000,1,1.0,2184.2078,New York County,New York,40.780235,-73.984634,Manhattan,10023,Brown Harris Stevens
58,Co-op for sale,559500,1,1.0,800.0,Kings County,Brooklyn,40.575195,-73.966995,Brooklyn,11235,Other
59,Co-op for sale,750000,1,1.0,835.0,New York County,New York,40.76437,-73.95936,Manhattan,10065,Douglas Elliman
60,Condo for sale,1900000,2,2.0,1029.0,New York County,New York,40.71934,-73.98564,Manhattan,10002,Douglas Elliman
61,Condo for sale,1250000,2,2.0,1201.0,Kings County,Brooklyn,40.640022,-73.96761,Brooklyn,11218,Corcoran
62,Condo for sale,1395000,2,2.0,1182.0,Kings County,Brooklyn,40.67878,-73.96437,Brooklyn,11238,COMPASS
63,Co-op for sale,198000,1,1.0,2184.2078,Queens County,Queens,40.70031,-73.853546,Other,11421,Other
64,Condo for sale,1595000,3,3.0,1413.0,New York,Kings County,40.691513,-73.93545,Brooklyn,11221,Serhant
65,Condo for sale,655000,3,2.0,803.0,New York,Kings County,40.696728,-73.9074,Brooklyn,11237,Douglas Elliman
66,Condo for sale,1175000,2,2.0,1115.0,Kings County,Brooklyn,40.691513,-73.93545,Brooklyn,11221,Serhant
67,Multi-family home for sale,798000,3,4.0,2150.0,New York,Richmond County,40.587486,-74.07011,Staten Island,10305,Other
68,Condo for sale,31000000,3,4.0,4492.0,New York County,New York,40.764954,-73.97757,Manhattan,10019,Corcoran
69,Condo for sale,1650000,2,2.0,1065.0,New York County,New York,40.783356,-73.95,Manhattan,10128,Douglas Elliman
70,Townhouse for sale,12950000,5,4.0,3344.0,New York,New York County,40.73632,-74.0018,Manhattan,10014,COMPASS
71,Condo for sale,5750000,3,2.0,2223.0,New York County,New York,40.736607,-73.982285,Manhattan,10010,Brown Harris Stevens
72,Multi-family home for sale,250000,5,2.0,2184.2078,New York,Queens County,40.66911,-73.78934,Queens,11436,Sowae Corp
73,House for sale,585000,3,2.0,1100.0,New York,Richmond County,40.578426,-74.10544,Staten Island,10306,Keller Williams
74,House for sale,8750000,6,6.0,2184.2078,New York,Kings County,40.628292,-74.03797,Brooklyn,11209,Brown Harris Stevens
75,House for sale,595000,3,1.0,1316.0,New York,Kings County,40.623913,-73.92912,Brooklyn,11234,Other
76,Condo for sale,215000,1,1.0,625.0,New York County,New York,40.726772,-74.00254,Manhattan,10012,Other
77,For sale,950000,1,1.0,621.0,New York,New York County,40.798656,-73.9679,Manhattan,10025,Other
78,House for sale,314000,3,1.0,1572.0,New York,Kings County,40.63624,-73.93968,Brooklyn,11210,Sowae Corp
79,Condo for sale,395000,5,1.0,1000.0,New York,New York County,40.77004,-73.96389,Manhattan,10021,Brown Harris Stevens
80,Multi-family home for sale,600000,2,2.0,2184.2078,New York,Bronx County,40.842953,-73.82496,Bronx,10465,Other
81,Multi-family home for sale,790000,6,3.0,2520.0,New York,Richmond County,40.610584,-74.126816,Staten Island,10314,eXp Realty
82,Co-op for sale,539000,2,2.0,1100.0,Kings County,Brooklyn,40.617073,-74.03838,Brooklyn,11209,Other
83,Co-op for sale,1295000,4,2.0,1995.0,Bronx County,The Bronx,40.88099,-73.92243,Bronx,10463,Douglas Elliman
84,House for sale,245000,3,1.0,2184.2078,New York,Bronx County,40.86901,-73.856445,Bronx,10469,Sowae Corp
85,House for sale,400000,7,3.0,2385.0,New York,Bronx County,40.896915,-73.8655,Bronx,10470,Other
86,House for sale,55000000,8,8.0,12000.0,New York,New York County,40.782238,-73.984634,Manhattan,10023,Douglas Elliman
87,Co-op for sale,280000,1,1.0,1000.0,Kings County,Brooklyn,40.624176,-74.02168,Brooklyn,11209,Brown Harris Stevens
88,House for sale,899000,3,2.0,1440.0,New York,Richmond County,40.5159,-74.23148,Staten Island,10309,Other
89,For sale,2280000,2,2.0,1400.0,New York,New York County,40.798656,-73.9679,Manhattan,10025,Other
90,House for sale,3950000,5,2.0,3528.0,New York,Kings County,40.66806,-73.97484,Brooklyn,11215,Douglas Elliman
91,Condo for sale,325000,2,1.0,979.0,New York County,New York,40.78975,-73.94872,Manhattan,10029,Other
92,Townhouse for sale,2695000,6,5.0,4720.0,New York,New York County,40.823513,-73.946754,Manhattan,10031,Sotheby's International Realty
93,House for sale,694000,3,3.0,1360.0,New York,Richmond County,40.542313,-74.15557,Staten Island,10308,COMPASS
94,House for sale,688888,4,2.0,2846.0,New York,Bronx County,40.87262,-73.86517,Bronx,10467,Douglas Elliman
95,House for sale,400000,4,2.0,1980.0,New York,Kings County,40.665356,-73.87709,Brooklyn,11208,Sowae Corp
96,Multi-family home for sale,346000,5,2.0,2184.2078,New York,Queens County,40.68379,-73.838104,Other,11417,Sowae Corp
97,House for sale,265000,3,1.0,2184.2078,New York,Queens County,40.67538,-73.74725,Other,11413,Sowae Corp
98,House for sale,319000,3,2.0,1224.0,New York,Richmond County,40.56047,-74.10189,Staten Island,10306,Winzone Realty
99,Townhouse for sale,24800000,6,8.0,2184.2078,New York,New York County,40.77293,-73.96355,Manhattan,10021,Corcoran
100,House for sale,1100000,9,4.0,3276.0,New York,New York County,40.83071,-73.94242,Manhattan,10032,eXp Realty
101,Multi-family home for sale,309000,6,2.0,2184.2078,New York,Queens County,40.59807,-73.76327,Other,11691,Sowae Corp
102,House for sale,650000,3,2.0,1522.0,New York,Queens County,40.723244,-73.72933,Other,11426,Keller Williams
103,House for sale,799000,4,2.0,1975.0,New York,Richmond County,40.53878,-74.193375,Staten Island,10312,Other
104,Co-op for sale,259000,3,2.0,1089.0,New York,Bronx County,40.82464,-73.807205,Bronx,10465,Other
105,House for sale,1195000,4,4.0,2704.0,New York,Richmond County,40.5143,-74.204475,Staten Island,10309,Other
106,Condo for sale,17500000,5,6.0,5499.0,New York,New York County,40.714336,-74.00874,Manhattan,10007,Serhant
107,Condo for sale,189000,2,2.0,966.0,Richmond County,Staten Island,40.61096,-74.06035,Staten Island,10305,Other
108,Condo for sale,759000,3,2.0,1200.0,Queens County,Queens,40.788177,-73.787704,Other,11360,Other
109,House for sale,275000,4,1.0,2184.2078,New York,Kings County,40.636684,-73.948814,Brooklyn,11210,Other
110,Condo for sale,499000,1,1.0,630.0,New York County,New York,40.770233,-73.96101,Manhattan,10021,COMPASS
111,Co-op for sale,69900,2,1.0,700.0,New York,Bronx County,40.8225,-73.81116,Bronx,10465,Other
112,Multi-family home for sale,1150000,12,6.0,5508.0,New York,Queens County,40.75505,-73.913635,Queens,11103,Other
113,Co-op for sale,1399000,3,4.0,1993.0,Queens County,Queens,40.75669,-73.72075,Other,11005,Charles H. Greenthal Property
114,Condo for sale,649000,3,2.0,1182.0,Queens County,Queens,40.730293,-73.80592,Other,11365,Douglas Elliman
115,House for sale,499000,5,2.0,1760.0,New York,Bronx County,40.866386,-73.88789,Bronx,10458,Other
116,Multi-family home for sale,1050000,5,4.0,3132.0,New York,Bronx County,40.817654,-73.8197,Bronx,10465,Sotheby's International Realty
117,Townhouse for sale,5000000,10,9.0,6425.0,New York,New York County,40.78326,-73.97604,Manhattan,10024,COMPASS
118,House for sale,56000000,11,10.0,24000.0,New York,New York County,40.7616,-73.97619,Manhattan,10019,Douglas Elliman
119,Condo for sale,500000,4,3.0,1794.0,New York County,New York,40.790573,-73.97534,Manhattan,10024,Douglas Elliman
120,House for sale,350000,2,1.0,490.0,New York,Richmond County,40.573128,-74.08918,Staten Island,10306,Other
121,House for sale,1099000,4,2.0,2184.2078,New York,Queens County,40.559563,-73.91474,Queens,11697,Corcoran
122,Co-op for sale,90000,1,1.0,450.0,Bronx County,The Bronx,40.84237,-73.92345,Bronx,10452,RE/MAX
123,House for sale,839000,4,2.0,2184.2078,New York,Queens County,40.659092,-73.8452,Other,11414,Other
124,House for sale,659000,8,3.0,2184.2078,New York,Queens County,40.688534,-73.79653,Queens,11435,Century 21
125,House for sale,399999,3,1.0,2184.2078,New York,Queens County,40.595,-73.75774,Other,11691,Other
126,Condo for sale,250000,3,1.0,2184.2078,Kings County,Brooklyn,40.59971,-73.934494,Brooklyn,11229,Other
127,For sale,1740000,2,2.0,1132.0,New York,New York County,40.798656,-73.9679,Manhattan,10025,Other
128,House for sale,650000,4,2.0,2244.0,New York,Queens County,40.69687,-73.73904,Other,11411,Other
129,House for sale,1165000,3,4.0,3500.0,New York,Richmond County,40.53973,-74.21552,Staten Island,10309,RE/MAX
130,House for sale,729900,3,2.0,1150.0,New York,Richmond County,40.530212,-74.19819,Staten Island,10309,"Homes R Us Realty of NY, Inc."
131,House for sale,1880000,3,4.0,3150.0,New York,Kings County,40.580524,-74.0061,Brooklyn,11224,Winzone Realty
132,Co-op for sale,449000,2,2.0,1549.0,Queens County,Queens,40.757797,-73.71596,Other,11005,Charles H. Greenthal Property
133,House for sale,1175000,3,2.0,2250.0,New York,Queens County,40.57372,-73.85778,Other,11694,Keller Williams
134,Townhouse for sale,2750000,3,2.0,2184.2078,New York,New York County,40.73367,-74.00052,Manhattan,10014,"Garfield, Leslie J. & Co., Inc."
135,House for sale,995000,3,2.0,2184.2078,New York,Queens County,40.657684,-73.848915,Other,11414,Other
136,Condo for sale,2000000,3,2.0,2000.0,New York,Manhattan,40.708645,-74.0162,Manhattan,10280,COMPASS
137,Townhouse for sale,15000000,8,6.0,2184.2078,New York,Kings County,40.694897,-73.99258,Brooklyn,11201,Other
138,House for sale,2800000,4,6.0,8333.0,New York,Richmond County,40.58612,-74.107544,Staten Island,10304,RE/MAX
139,House for sale,2600000,5,4.0,3024.0,New York,Queens County,40.77804,-73.773964,Other,11360,Keller Williams
140,Townhouse for sale,3500000,6,6.0,6000.0,New York,New York County,40.822914,-73.94606,Manhattan,10031,Corcoran
141,Co-op for sale,550000,1,1.0,2184.2078,New York County,New York,40.788708,-73.97001,Manhattan,10024,Corcoran
142,House for sale,675000,3,2.0,2400.0,New York,Kings County,40.610207,-73.91065,Brooklyn,11234,Other
143,House for sale,879000,4,2.0,1238.0,New York,Richmond County,40.527325,-74.198326,Staten Island,10309,Other
144,House for sale,918888,3,2.0,2184.2078,New York,Queens County,40.760704,-73.88089,Other,11369,Keller Williams
145,Townhouse for sale,2400000,4,2.0,1892.0,New York,Kings County,40.667492,-73.983215,Brooklyn,11215,COMPASS
146,Multi-family home for sale,425000,5,2.0,2184.2078,New York,Bronx County,40.815998,-73.8881,Bronx,10474,Sowae Corp
147,House for sale,998000,4,4.0,2000.0,New York,Richmond County,40.51525,-74.235146,Staten Island,10307,RE/MAX
148,House for sale,1195000,4,4.0,2688.0,New York,Richmond County,40.629642,-74.100525,Staten Island,10301,Coldwell Banker
149,House for sale,1649000,3,2.0,2052.0,New York,Kings County,40.616417,-74.014244,Brooklyn,11228,RE/MAX
150,House for sale,955000,4,4.0,2100.0,New York,Richmond County,40.551186,-74.18407,Staten Island,10312,"Homes R Us Realty of NY, Inc."
151,Multi-family home for sale,949000,6,3.0,2184.2078,New York,Queens County,40.677395,-73.800095,Queens,11436,Other
152,House for sale,880000,3,2.0,1743.0,New York,Queens County,40.76683,-73.791115,Queens,11358,Keller Williams
153,Condo for sale,198000,1,1.0,750.0,Queens County,Queens,40.71276,-73.83433,Queens,11415,Other
154,House for sale,549000,5,3.0,496.0,New York,Bronx County,40.86797,-73.83656,Bronx,10469,Other
155,House for sale,1088888,3,4.0,1320.0,New York,Kings County,40.609093,-73.976265,Brooklyn,11204,RE/MAX
156,House for sale,888000,4,2.0,2686.0,New York,Bronx County,40.813076,-73.806335,Bronx,10465,Other
157,For sale,65000,3,1.0,230.0,New York County,New York,40.71207,-73.99833,Manhattan,10038,Other
158,House for sale,1449999,3,2.0,2184.2078,New York,Queens County,40.76978,-73.90145,Other,11105,Real Broker NY LLC
159,Townhouse for sale,14900000,5,5.0,2184.2078,New York,New York County,40.775818,-73.97852,Manhattan,10023,Serhant
160,Townhouse for sale,1970000,4,4.0,2508.0,New York,Kings County,40.696533,-73.98396,Brooklyn,11201,Sotheby's International Realty
161,Co-op for sale,1895000,2,2.0,2184.2078,Kings County,Brooklyn,40.673977,-73.97353,Brooklyn,11215,COMPASS
162,House for sale,649999,3,2.0,1440.0,New York,Richmond County,40.580334,-74.08852,Staten Island,10305,Other
163,House for sale,669000,3,2.0,864.0,New York,Richmond County,40.599354,-74.09539,Staten Island,10304,eXp Realty
164,House for sale,800000,3,2.0,825.0,New York,Kings County,40.622272,-73.924095,Brooklyn,11234,Corcoran
165,Co-op for sale,2375000,1,2.0,2184.2078,New York County,New York,40.72522,-73.99297,Manhattan,10012,COMPASS
166,For sale,2400000,6,6.0,6688.0,New York,Kings County,40.673855,-73.95061,Brooklyn,11216,Corcoran
167,House for sale,390000,2,1.0,586.0,New York,Richmond County,40.574104,-74.09317,Staten Island,10306,eXp Realty
168,Condo for sale,2250000,1,1.0,2184.2078,New York County,New York,40.73731,-74.00467,Manhattan,10014,COMPASS
169,Condo for sale,725000,2,2.0,792.0,Kings County,Brooklyn,40.689816,-73.90625,Brooklyn,11207,Other
170,Co-op for sale,269000,1,1.0,2184.2078,Bronx County,The Bronx,40.896805,-73.908745,Bronx,10471,Sotheby's International Realty
171,Co-op for sale,695000,2,2.0,2184.2078,New York County,New York,40.76517,-73.96787,Manhattan,10065,COMPASS
172,House for sale,1300000,3,2.0,2184.2078,New York,Bronx County,40.810913,-73.85392,Bronx,10473,Winzone Realty
173,Co-op for sale,459000,3,2.0,1250.0,New York,Kings County,40.586647,-73.98451,Brooklyn,11214,Ilite Realty Inc
174,House for sale,689999,3,2.0,1008.0,New York,Richmond County,40.621815,-74.140625,Staten Island,10302,Robert DeFalco Realty
175,Co-op for sale,425000,3,2.0,1405.0,New York,Queens County,40.738186,-73.85812,Other,11368,Winzone Realty
176,House for sale,10000000,5,4.0,6800.0,New York,New York County,40.764988,-73.96553,Manhattan,10065,Douglas Elliman
177,Co-op for sale,1525000,2,2.0,2184.2078,New York County,New York,40.784622,-73.98266,Manhattan,10024,Other
178,Multi-family home for sale,1499000,9,6.0,3519.0,New York,Kings County,40.583515,-73.97389,Brooklyn,11223,Other
179,House for sale,519000,3,2.0,1480.0,New York,Richmond County,40.593937,-74.18432,Staten Island,10314,Robert DeFalco Realty
180,Co-op for sale,358000,2,1.0,2184.2078,Queens County,Queens,40.78552,-73.77976,Other,11360,Other
181,Co-op for sale,975000,3,1.0,2184.2078,New York County,New York,40.745506,-74.0016,Manhattan,10011,COMPASS
182,Townhouse for sale,29200000,12,10.0,11638.0,New York,New York County,40.74747,-73.979675,Manhattan,10016,Other
183,Co-op for sale,498000,2,1.0,975.0,Kings County,Brooklyn,40.635117,-74.03116,Brooklyn,11209,Other
184,Co-op for sale,385000,1,2.0,900.0,Queens County,Queens,40.78393,-73.77643,Other,11360,Other
185,Multi-family home for sale,999000,6,2.0,3144.0,New York,Bronx County,40.845108,-73.86016,Bronx,10462,Other
186,Co-op for sale,399000,1,1.0,2184.2078,Queens County,Queens,40.75312,-73.881874,Queens,11372,COMPASS
187,Townhouse for sale,699998,3,2.0,1548.0,New York,Richmond County,40.595314,-74.16283,Staten Island,10314,Other
188,Co-op for sale,1088000,5,2.0,2184.2078,Queens County,Queens,40.7186,-73.84535,Other,11375,Sotheby's International Realty
189,House for sale,999000,6,2.0,1280.0,New York,Bronx County,40.880817,-73.83508,Bronx,10475,Other
190,Multi-family home for sale,1188888,15,9.0,2184.2078,New York,Queens County,40.707554,-73.903694,Other,11385,Other
191,Co-op for sale,265000,1,1.0,700.0,Queens County,Queens,40.78245,-73.77651,Other,11360,Other
192,Co-op for sale,288000,1,1.0,845.0,Kings County,Brooklyn,40.58948,-73.93954,Brooklyn,11235,Other
193,Co-op for sale,999995,3,2.0,1750.0,New York County,New York,40.76405,-73.96433,Manhattan,10065,COMPASS
194,Co-op for sale,1495000,2,2.0,1350.0,New York County,New York,40.77082,-73.959526,Manhattan,10021,Corcoran
195,Co-op for sale,925000,1,1.0,1000.0,New York County,New York,40.769943,-73.95836,Manhattan,10021,Corcoran
196,Co-op for sale,349000,2,1.0,2184.2078,Queens County,Queens,40.705036,-73.82417,Other,11415,Other
197,Condo for sale,2000000,4,4.0,3000.0,New York County,New York,40.757347,-73.961494,Manhattan,10022,Other
198,Condo for sale,839000,3,2.0,1376.0,New York,Kings County,40.590546,-73.99104,Brooklyn,11214,Century 21
199,Co-op for sale,329000,1,1.0,820.0,Queens County,Queens,40.71574,-73.83672,Other,11375,Other
200,Multi-family home for sale,899000,6,3.0,3683.0,New York,Bronx County,40.879616,-73.856155,Bronx,10469,Keller Williams
201,House for sale,615000,3,2.0,2184.2078,New York,Kings County,40.661045,-73.90199,Other,11212,Other
202,Condo for sale,800000,2,2.0,1257.0,New York County,New York,40.79178,-73.94062,Manhattan,10029,Sotheby's International Realty
203,Condo for sale,430000,2,2.0,1248.0,Richmond County,Staten Island,40.61239,-74.15113,Staten Island,10314,Coldwell Banker
204,Co-op for sale,439500,3,2.0,1400.0,Queens County,Queens,40.70479,-73.83446,Other,11415,Keller Williams
205,Co-op for sale,299000,1,1.0,2184.2078,Queens County,Queens,40.7124,-73.83393,Other,11415,Other
206,Condo for sale,200000,1,1.0,613.0,New York,Bronx County,40.840458,-73.8542,Bronx,10462,RE/MAX
207,Co-op for sale,425000,3,1.0,2184.2078,New York County,New York,40.81899,-73.95311,Manhattan,10031,Other
208,Co-op for sale,69000,1,1.0,850.0,Bronx County,The Bronx,40.836662,-73.92396,Bronx,10452,BESMATCH REAL ESTATE
209,Condo for sale,1995000,3,2.0,1546.0,New York County,New York,40.801853,-73.967285,Manhattan,10025,Corcoran
210,Co-op for sale,230000,1,1.0,620.0,New York County,New York,40.80284,-73.967026,Manhattan,10025,COMPASS
211,Co-op for sale,220000,1,1.0,590.0,Queens County,Queens,40.713013,-73.82304,Other,11435,Other
212,Co-op for sale,198000,3,1.0,2184.2078,Queens County,Queens,40.756145,-73.821365,Queens,11355,E Realty International
213,Co-op for sale,1495000,1,2.0,2184.2078,New York County,New York,40.73829,-73.98518,Manhattan,10010,Brown Harris Stevens
214,Co-op for sale,475000,1,1.0,615.0,New York County,New York,40.777996,-73.944534,Manhattan,10128,Corcoran
215,Co-op for sale,199900,2,1.0,2184.2078,Queens County,Queens,40.677906,-73.73388,Other,11422,Other
216,House for sale,1150000,2,2.0,1444.0,New York,Richmond County,40.58825,-74.10873,Staten Island,10304,Other
217,House for sale,1575000,3,2.0,2184.2078,New York,Kings County,40.668396,-73.97622,Brooklyn,11215,Corcoran
218,Co-op for sale,229000,1,1.0,2184.2078,Queens County,Queens,40.75628,-73.87581,Queens,11372,Keller Williams
219,For sale,2700000,8,4.0,2184.2078,New York,Kings County,40.691483,-73.96764,Brooklyn,11205,Corcoran
220,Condo for sale,320000,2,2.0,936.0,Bronx County,The Bronx,40.823685,-73.86113,Bronx,10473,Other
221,Co-op for sale,295000,2,1.0,700.0,Kings County,Brooklyn,40.61964,-73.97073,Brooklyn,11230,RE/MAX
222,House for sale,550000,3,2.0,2184.2078,New York,Kings County,40.649876,-73.93751,Brooklyn,11203,Other
223,Condo for sale,285000,2,1.0,1000.0,Bronx County,The Bronx,40.836227,-73.86124,Bronx,10462,Serhant
224,Co-op for sale,328000,1,1.0,800.0,Queens County,Queens,40.743057,-73.88098,Queens,11373,Voro Llc
225,Multi-family home for sale,1388000,4,3.0,2184.2078,New York,Queens County,40.77416,-73.795746,Queens,11358,Other
226,Multi-family home for sale,3000000,10,10.0,2184.2078,New York,Kings County,40.69493,-73.99285,Other,11201,eXp Realty
227,Multi-family home for sale,2198888,7,6.0,2184.2078,New York,Queens County,40.70327,-73.908844,Other,11385,Other
228,Multi-family home for sale,650000,6,2.0,2310.0,New York,Bronx County,40.824436,-73.86337,Bronx,10473,Other
229,Condo for sale,1100000,1,2.0,890.0,New York County,New York,40.759853,-73.98744,Manhattan,10036,Corcoran
230,Townhouse for sale,2649000,5,4.0,4050.0,New York,Kings County,40.68209,-73.93939,Brooklyn,11216,Other
231,Co-op for sale,849000,2,1.0,800.0,Kings County,Brooklyn,40.66626,-73.987015,Brooklyn,11215,Corcoran
232,For sale,6500000,2,2.0,2184.2078,New York County,New York,40.778004,-73.96255,Manhattan,10028,Sotheby's International Realty
233,Co-op for sale,560000,3,1.0,550.0,New York County,New York,40.777245,-73.98688,Manhattan,10023,Other
234,Co-op for sale,418888,2,1.0,900.0,Kings County,Brooklyn,40.63391,-74.005844,Brooklyn,11219,RE/MAX
235,Multi-family home for sale,2600000,3,3.0,3978.0,New York,Kings County,40.60839,-74.01002,Brooklyn,11228,RE/MAX
236,Multi-family home for sale,899000,8,2.0,2160.0,New York,Bronx County,40.872807,-73.84695,Bronx,10469,Other
237,Multi-family home for sale,979000,8,3.0,2860.0,New York,Kings County,40.659714,-73.9196,Brooklyn,11212,Century 21
238,Co-op for sale,199000,1,1.0,2184.2078,Queens County,Queens,40.72829,-73.8472,Other,11375,Other
239,For sale,815000,3,1.0,2184.2078,New York County,New York,40.75192,-73.96983,Manhattan,10017,Sotheby's International Realty
